epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,10575.1,0.94683,0.58532,0.98115,0.83733,0.7529,0.81175,0.5838,0.86678,0.53518,0.97938,0.006073,0.006073,0.006073
121,10663.6,0.94381,0.58281,0.9785,0.83307,0.75389,0.81196,0.58342,0.86616,0.53464,0.97906,0.00604,0.00604,0.00604
122,10751.1,0.94225,0.57929,0.97846,0.83417,0.75355,0.81208,0.58363,0.86576,0.53429,0.97891,0.006007,0.006007,0.006007
123,10838.5,0.93884,0.5784,0.97691,0.83454,0.75019,0.81111,0.5839,0.86545,0.53387,0.97864,0.005974,0.005974,0.005974
124,10926.4,0.94005,0.577,0.97725,0.8356,0.75377,0.81256,0.58496,0.86502,0.53352,0.97851,0.005941,0.005941,0.005941
125,11014.4,0.94119,0.57994,0.97981,0.83187,0.75503,0.81248,0.58471,0.86453,0.53342,0.97833,0.005908,0.005908,0.005908
126,11102.4,0.94003,0.57811,0.9783,0.83053,0.75463,0.81318,0.58527,0.86417,0.53303,0.97807,0.005875,0.005875,0.005875
127,11190.5,0.93903,0.57676,0.97586,0.83352,0.75457,0.81378,0.58588,0.86391,0.53268,0.97792,0.005842,0.005842,0.005842
128,11278.4,0.93254,0.57449,0.97261,0.82702,0.7571,0.81339,0.58631,0.86346,0.53214,0.97777,0.005809,0.005809,0.005809
129,11366.6,0.93067,0.57096,0.97202,0.8247,0.75758,0.81292,0.58638,0.86315,0.53176,0.97746,0.005776,0.005776,0.005776
130,11454.5,0.92876,0.56877,0.9714,0.83331,0.75771,0.81442,0.5868,0.86318,0.53155,0.97739,0.005743,0.005743,0.005743
131,11542.6,0.92616,0.56789,0.97279,0.83334,0.75741,0.81469,0.58681,0.86277,0.53115,0.97725,0.00571,0.00571,0.00571
132,11630.6,0.93044,0.56983,0.97232,0.8264,0.7571,0.81408,0.5874,0.86225,0.53084,0.97699,0.005677,0.005677,0.005677
133,11718.3,0.92608,0.56799,0.97287,0.82912,0.75583,0.81401,0.5873,0.86168,0.53024,0.97682,0.005644,0.005644,0.005644
134,11805.6,0.92691,0.56757,0.96983,0.83077,0.75541,0.81411,0.58763,0.86154,0.52998,0.97673,0.005611,0.005611,0.005611
135,11893.5,0.92295,0.5655,0.96983,0.83196,0.75564,0.81424,0.5883,0.86112,0.5295,0.97654,0.005578,0.005578,0.005578
136,11981.3,0.92137,0.5632,0.9701,0.83143,0.75712,0.81435,0.58887,0.86102,0.52948,0.97641,0.005545,0.005545,0.005545
137,12069.6,0.92294,0.56325,0.96989,0.83175,0.75428,0.81465,0.58857,0.86044,0.52876,0.97617,0.005512,0.005512,0.005512
138,12157.3,0.91989,0.56259,0.96766,0.83163,0.75217,0.81459,0.5887,0.86016,0.52841,0.97602,0.005479,0.005479,0.005479
139,12244.9,0.92149,0.56399,0.96801,0.83348,0.75281,0.81467,0.58867,0.85973,0.52782,0.97589,0.005446,0.005446,0.005446
140,12332.4,0.91628,0.56042,0.96667,0.83506,0.75182,0.81487,0.58895,0.85942,0.52727,0.97576,0.005413,0.005413,0.005413
141,12420.4,0.92064,0.56261,0.96647,0.8377,0.75393,0.81514,0.58977,0.85901,0.52685,0.97547,0.00538,0.00538,0.00538
142,12508.4,0.91373,0.55754,0.96346,0.83513,0.75466,0.81512,0.59022,0.85866,0.52657,0.97527,0.005347,0.005347,0.005347
143,12596.4,0.92149,0.56174,0.96778,0.8354,0.75494,0.81545,0.5906,0.85819,0.5262,0.97506,0.005314,0.005314,0.005314
144,12684.5,0.91233,0.5566,0.9658,0.8387,0.75743,0.81718,0.5918,0.85786,0.52589,0.97495,0.005281,0.005281,0.005281
145,12772.5,0.91128,0.55637,0.96274,0.83901,0.75793,0.81697,0.59195,0.85731,0.52564,0.97476,0.005248,0.005248,0.005248
146,12860.7,0.90994,0.5537,0.96255,0.83259,0.76074,0.81718,0.59152,0.85684,0.52535,0.97454,0.005215,0.005215,0.005215
147,12948.4,0.91087,0.55433,0.96256,0.8303,0.76093,0.81718,0.59188,0.85681,0.52514,0.97433,0.005182,0.005182,0.005182
148,13036.1,0.90961,0.55454,0.96325,0.83344,0.76091,0.81698,0.59219,0.85628,0.52506,0.97409,0.005149,0.005149,0.005149
149,13124.1,0.90891,0.55378,0.96262,0.83262,0.76237,0.81729,0.59234,0.85626,0.52452,0.97406,0.005116,0.005116,0.005116
150,13212.5,0.90622,0.55167,0.96012,0.83339,0.76446,0.8173,0.59263,0.85599,0.5242,0.97394,0.005083,0.005083,0.005083
151,13300.5,0.90188,0.54982,0.95886,0.83256,0.76616,0.81772,0.59321,0.85582,0.52413,0.97382,0.00505,0.00505,0.00505
152,13387.8,0.90577,0.55033,0.95955,0.82786,0.76923,0.81829,0.59335,0.85535,0.52348,0.97362,0.005017,0.005017,0.005017
153,13475.7,0.90432,0.54983,0.9603,0.82996,0.76851,0.81835,0.59402,0.85507,0.52327,0.97353,0.004984,0.004984,0.004984
154,13563.6,0.90071,0.54843,0.95948,0.82839,0.76593,0.81792,0.59437,0.85489,0.52286,0.97344,0.004951,0.004951,0.004951
155,13651.7,0.90411,0.55031,0.96036,0.82639,0.76351,0.81778,0.59477,0.85482,0.52243,0.97351,0.004918,0.004918,0.004918
156,13739.7,0.9,0.54811,0.9602,0.82942,0.76574,0.81845,0.59529,0.85438,0.5221,0.97333,0.004885,0.004885,0.004885
157,13827.7,0.89821,0.54444,0.95837,0.83042,0.76558,0.81814,0.59599,0.8538,0.52192,0.97321,0.004852,0.004852,0.004852
158,13916,0.89432,0.54418,0.9576,0.82777,0.76505,0.81647,0.59622,0.85358,0.52163,0.97314,0.004819,0.004819,0.004819
159,14004.2,0.8938,0.54302,0.95499,0.83024,0.76598,0.81712,0.59619,0.85331,0.52132,0.97308,0.004786,0.004786,0.004786
160,14092.4,0.89957,0.54741,0.95614,0.8315,0.76677,0.81716,0.59593,0.85336,0.52079,0.97298,0.004753,0.004753,0.004753
